algorithm,integ_scheme,eps,L
MCHMC_bounces,leapfrog,0.18512249290943145,2.5425068378448485
MCHMC_bounces,minimal_norm,0.40048816204071047,4.372038745880127
MCLMC,leapfrog,0.15237804502248764,2.715968786471946
MCLMC,minimal_norm,0.3901360809803009,5.201711086230451
