algorithm,integ_scheme,eps,L
MCHMC_bounces,leapfrog,1.5040470123291017,11.936664199829101
MCHMC_bounces,minimal_norm,5.494773101806641,23.877191162109376
MCLMC,leapfrog,1.3785706043243409,13.313406112071817
MCLMC,minimal_norm,5.766019058227539,17.974037744721482
